"scen_type","type_id","agents","lower_cost","lower_date","solution_cost","solution_date"
"even","1","1","509","2022-11-18","509","2022-11-18"
"even","1","2","703","2022-11-18","703","2022-11-18"
"even","1","3","1248","2022-11-18","1248","2022-11-18"
"even","1","4","1974","2022-11-18","1974","2022-11-18"
"even","1","5","2378","2022-11-18","2378","2022-11-18"
"even","1","6","3107","2022-11-18","3112","2022-11-29"
"even","1","7","3202","2022-11-18","3207","2022-11-29"
"even","1","8","3839","2022-11-29","3960","2022-11-29"
"even","1","9","3954","2022-11-29","4079","2022-11-29"
"even","1","10","4024","2022-11-29","4149","2022-11-29"
"even","1","11","4459","2022-11-29","4602","2022-11-29"
"even","1","12","4769","2022-11-29","4920","2022-11-29"
"even","1","13","4917","2022-11-29","5086","2022-11-29"
"even","1","14","5255","2022-11-29","5424","2022-11-29"
"even","1","15","5448","2022-11-29","5617","2022-11-29"
"even","1","16","5850","2022-11-29","6052","2022-11-29"
"even","1","17","6036","2022-11-29","6238","2022-11-29"
"even","1","18","6578","2022-11-29","6782","2022-11-29"
"even","1","19","7025","2022-11-29","7458","2022-11-29"
"even","1","20","7344","2022-11-29","7815","2022-11-29"
"even","1","21","7835","2022-11-29","8318","2022-11-29"
"even","1","22","8278","2022-11-29","8914","2022-11-29"
"even","1","23","8527","2022-11-29","9191","2022-11-29"
"even","1","24","9300","2022-11-29","10156","2022-11-29"
"even","1","25","9747","2022-11-29","10641","2022-11-29"
"even","1","26","10374","2022-11-29","11331","2022-11-29"
"even","1","27","10843","2022-11-29","12268","2022-11-29"
"even","1","28","11108","2022-11-29","12519","2022-11-29"
"even","1","29","11780","2022-11-29","13255","2022-11-29"
"even","1","30","12333","2022-11-29","13818","2022-11-29"
"even","1","31","12515","2022-11-29","14038","2022-11-29"
"even","1","32","13148","2022-11-29","14723","2022-11-29"
"even","1","33","13895","2022-11-29","15603","2022-11-29"
"even","1","34","14503","2022-11-29","16200","2022-11-29"
"even","1","35","14804","2022-11-29","16522","2022-11-29"
"even","1","36","14813","2022-11-29","16627","2022-11-29"
"even","1","37","15106","2022-11-29","16958","2022-11-29"
"even","1","38","15331","2022-11-29","17057","2022-11-29"
"even","1","39","16067","2022-11-29","18013","2022-11-29"
"even","1","40","16530","2022-11-29","18489","2022-11-29"
"even","1","41","17267","2022-11-29","19605","2022-11-29"
"even","1","42","17516","2022-11-29","19969","2022-11-29"
"even","1","43","18283","2022-11-29","20858","2022-11-29"
"even","1","44","18305","2022-11-29","20844","2022-11-29"
"even","1","45","18722","2022-11-29","21606","2022-11-29"
"even","1","46","19284","2022-11-29","22094","2022-11-29"
"even","1","47","19870","2022-11-29","22807","2022-11-29"
"even","1","48","20179","2022-11-29","23245","2022-11-29"
"even","1","49","20644","2022-11-29","23535","2022-11-29"
"even","1","50","21425","2022-11-29","24642","2022-11-29"
"even","1","51","21795","2022-11-29","24950","2022-11-29"
"even","1","52","22433","2022-11-29","25822","2022-11-29"
"even","1","53","22788","2022-11-29","26487","2022-11-29"
"even","1","54","23364","2022-11-29","27989","2022-11-29"
"even","1","55","23920","2022-11-29","27726","2022-11-29"
"even","1","56","24602","2022-11-29","29120","2022-11-29"
"even","1","57","25098","2022-11-29","29640","2022-11-29"
"even","1","58","25609","2022-11-29","30363","2022-11-29"
"even","1","59","26422","2022-11-29","32091","2022-11-29"
"even","1","60","26612","2022-11-29","31469","2022-11-29"
"even","1","61","26829","2022-11-29","32372","2022-11-29"
"even","1","62","27388","2022-11-29","32681","2022-11-29"
"even","1","63","27662","2022-11-29","32837","2022-11-29"
"even","1","64","28353","2022-11-29","34056","2022-11-29"
"even","1","65","28862","2022-11-29","34016","2022-11-29"
"even","1","66","28940","2022-11-29","35145","2022-11-29"
"even","1","67","29467","2022-11-29","35163","2022-11-29"
"even","1","68","29739","2022-11-29","35618","2022-11-29"
"even","1","69","29907","2022-11-29","35843","2022-11-29"
"even","1","70","30344","2022-11-29","35759","2022-11-29"
"even","1","71","30907","2022-11-29","37248","2022-11-29"
"even","1","72","31450","2022-11-29","37969","2022-11-29"
"even","1","73","32085","2022-11-29","38402","2022-11-29"
"even","1","74","32775","2022-11-29","38822","2022-11-29"
"even","1","75","33109","2022-11-29","40088","2022-11-29"
"even","1","76","33140","2022-11-29","40058","2022-11-29"
"even","1","77","33560","2022-11-29","40014","2022-11-29"
"even","1","78","34091","2022-11-29","42522","2022-11-29"
"even","1","79","34729","2022-11-29","42272","2022-11-29"
"even","1","80","34827","2022-11-29","42782","2022-11-29"
"even","1","81","35585","2022-11-29","44241","2022-11-29"
"even","1","82","36071","2022-11-29","44286","2022-11-29"
"even","1","83","36386","2022-11-29","44277","2022-11-29"
"even","1","84","36929","2022-11-29","45476","2022-11-29"
"even","1","85","37237","2022-11-29","45561","2022-11-29"
"even","1","86","37969","2022-11-29","47446","2022-11-29"
"even","1","87","38629","2022-11-29","47292","2022-11-29"
"even","1","88","39019","2022-11-29","48154","2022-11-29"
"even","1","89","39699","2022-11-29","48447","2022-11-29"
"even","1","90","40283","2022-11-29","50923","2022-11-29"
"even","1","91","40826","2022-11-29","50537","2022-11-29"
"even","1","92","41454","2022-11-29","52634","2022-11-29"
"even","1","93","42255","2022-11-29","54122","2022-11-29"
"even","1","94","42595","2022-11-29","54029","2022-11-29"
"even","1","95","43367","2022-11-29","55472","2022-11-29"
"even","1","96","43955","2022-11-29","55957","2022-11-29"
"even","1","97","44175","2022-11-29","56677","2022-11-29"
"even","1","98","44986","2022-11-29","56808","2022-11-29"
"even","1","99","45680","2022-11-29","60062","2022-11-29"
"even","1","100","46299","2022-11-29","60930","2022-11-29"
"even","1","101","46453","2022-11-29","62188","2022-11-29"
"even","1","102","47234","2022-11-29","61376","2022-11-29"
"even","1","103","47511","2022-11-29","63733","2022-11-29"
"even","1","104","48096","2022-11-29","63927","2022-11-29"
"even","1","105","48502","2022-11-29","63643","2022-11-29"
"even","1","106","49266","2022-11-29","68315","2022-11-29"
