"scen_type","type_id","agents","lower_cost","lower_date","solution_cost","solution_date"
"even","1","1","1","2022-11-18","1","2022-11-18"
"even","1","2","4","2022-11-18","4","2022-11-18"
"even","1","3","12","2022-11-18","12","2022-11-18"
"even","1","4","20","2022-11-18","20","2022-11-18"
"even","1","5","27","2022-11-18","27","2022-11-18"
"even","1","6","31","2022-11-18","31","2022-11-18"
"even","1","7","39","2022-11-18","39","2022-11-18"
"even","1","8","46","2022-11-18","46","2022-11-18"
"even","1","9","47","2022-11-18","47","2022-11-18"
"even","1","10","51","2022-11-18","51","2022-11-18"
"even","1","11","54","2022-11-18","54","2022-11-18"
"even","1","12","56","2022-11-18","56","2022-11-18"
"even","1","13","57","2022-11-18","57","2022-11-18"
"even","1","14","62","2022-11-18","62","2022-11-18"
"even","1","15","68","2022-11-18","68","2022-11-18"
"even","1","16","74","2022-11-18","74","2022-11-18"
"even","1","17","80","2022-11-18","80","2022-11-18"
"even","1","18","87","2022-11-18","87","2022-11-18"
"even","1","19","94","2022-11-18","94","2022-11-18"
"even","1","20","96","2022-11-18","96","2022-11-18"
"even","1","21","102","2022-11-18","102","2022-11-18"
"even","1","22","104","2022-11-18","104","2022-11-18"
"even","1","23","108","2022-11-18","108","2022-11-18"
"even","1","24","112","2022-11-18","112","2022-11-18"
"even","1","25","118","2022-11-18","118","2022-11-18"
"even","1","26","121","2022-11-18","121","2022-11-18"
"even","1","27","127","2022-11-18","127","2022-11-18"
"even","1","28","135","2022-11-18","135","2022-11-18"
"even","1","29","138","2022-11-18","138","2022-11-18"
"even","1","30","142","2022-11-18","142","2022-11-18"
"even","1","31","149","2022-11-18","149","2022-11-18"
"even","1","32","150","2022-11-18","150","2022-11-18"
"even","2","1","4","2022-11-18","4","2022-11-18"
"even","2","2","8","2022-11-18","8","2022-11-18"
"even","2","3","10","2022-11-18","10","2022-11-18"
"even","2","4","16","2022-11-18","16","2022-11-18"
"even","2","5","21","2022-11-18","21","2022-11-18"
"even","2","6","24","2022-11-18","24","2022-11-18"
"even","2","7","32","2022-11-18","32","2022-11-18"
"even","2","8","38","2022-11-18","38","2022-11-18"
"even","2","9","40","2022-11-18","40","2022-11-18"
"even","2","10","48","2022-11-18","48","2022-11-18"
"even","2","11","53","2022-11-18","53","2022-11-18"
"even","2","12","56","2022-11-18","56","2022-11-18"
"even","2","13","65","2022-11-18","65","2022-11-18"
"even","2","14","76","2022-11-18","76","2022-11-18"
"even","2","15","83","2022-11-18","83","2022-11-18"
"even","2","16","88","2022-11-18","88","2022-11-18"
"even","2","17","92","2022-11-18","92","2022-11-18"
"even","2","18","98","2022-11-18","98","2022-11-18"
"even","2","19","99","2022-11-18","99","2022-11-18"
"even","2","20","105","2022-11-18","105","2022-11-18"
"even","2","21","113","2022-11-18","113","2022-11-18"
"even","2","22","122","2022-11-18","122","2022-11-18"
"even","2","23","126","2022-11-18","126","2022-11-18"
"even","2","24","135","2022-11-18","135","2022-11-18"
"even","2","25","141","2022-11-18","141","2022-11-18"
"even","2","26","148","2023-02-27","148","2023-02-27"
"even","2","27","154","2023-02-27","154","2023-02-27"
"even","2","28","160","2023-02-27","160","2023-02-27"
"even","2","29","173","2023-02-27","173","2023-02-27"
"even","2","30","174","2023-02-27","174","2023-02-27"
"even","2","31","176.473","2023-02-27","180","2022-11-30"
"even","2","32","177.283","2023-02-27","185","2022-11-30"
"even","3","1","2","2022-11-18","2","2022-11-18"
"even","3","2","6","2022-11-18","6","2022-11-18"
"even","3","3","11","2022-11-18","11","2022-11-18"
"even","3","4","16","2022-11-18","16","2022-11-18"
"even","3","5","18","2022-11-18","18","2022-11-18"
"even","3","6","20","2022-11-18","20","2022-11-18"
"even","3","7","29","2022-11-18","29","2022-11-18"
"even","3","8","38","2022-11-18","38","2022-11-18"
"even","3","9","46","2022-11-18","46","2022-11-18"
"even","3","10","51","2022-11-18","51","2022-11-18"
"even","3","11","61","2022-11-18","61","2022-11-18"
"even","3","12","69","2022-11-18","69","2022-11-18"
"even","3","13","72","2022-11-18","72","2022-11-18"
"even","3","14","80","2022-11-18","80","2022-11-18"
"even","3","15","84","2022-11-18","84","2022-11-18"
"even","3","16","85","2022-11-18","85","2022-11-18"
"even","3","17","95","2022-11-18","95","2022-11-18"
"even","3","18","100","2022-11-18","100","2022-11-18"
"even","3","19","106","2022-11-18","106","2022-11-18"
"even","3","20","112","2022-11-18","112","2022-11-18"
"even","3","21","115","2022-11-18","115","2022-11-18"
"even","3","22","118","2022-11-18","118","2022-11-18"
"even","3","23","126","2022-11-18","126","2022-11-18"
"even","3","24","131","2022-11-18","131","2022-11-18"
"even","3","25","138","2022-11-18","138","2022-11-18"
"even","3","26","145","2022-11-18","145","2022-11-18"
"even","3","27","151","2022-11-18","151","2022-11-18"
"even","3","28","162","2022-11-18","162","2022-11-18"
"even","3","29","169","2022-11-18","169","2022-11-18"
"even","3","30","175","2022-11-18","175","2022-11-18"
"even","3","31","183","2023-02-27","183","2022-11-30"
"even","3","32","191","2023-02-27","191","2023-02-27"
"even","4","1","4","2022-11-18","4","2022-11-18"
"even","4","2","6","2022-11-18","6","2022-11-18"
"even","4","3","7","2022-11-18","7","2022-11-18"
"even","4","4","13","2022-11-18","13","2022-11-18"
"even","4","5","17","2022-11-18","17","2022-11-18"
"even","4","6","20","2022-11-18","20","2022-11-18"
"even","4","7","21","2022-11-18","21","2022-11-18"
"even","4","8","26","2022-11-18","26","2022-11-18"
"even","4","9","33","2022-11-18","33","2022-11-18"
"even","4","10","39","2022-11-18","39","2022-11-18"
"even","4","11","45","2022-11-18","45","2022-11-18"
"even","4","12","51","2022-11-18","51","2022-11-18"
"even","4","13","53","2022-11-18","53","2022-11-18"
"even","4","14","59","2022-11-18","59","2022-11-18"
"even","4","15","62","2022-11-18","62","2022-11-18"
"even","4","16","69","2022-11-18","69","2022-11-18"
"even","4","17","73","2022-11-18","73","2022-11-18"
"even","4","18","80","2022-11-18","80","2022-11-18"
"even","4","19","83","2022-11-18","83","2022-11-18"
"even","4","20","87","2022-11-18","87","2022-11-18"
"even","4","21","92","2022-11-18","92","2022-11-18"
"even","4","22","98","2022-11-18","98","2022-11-18"
"even","4","23","105","2022-11-18","105","2022-11-18"
"even","4","24","111","2022-11-18","111","2022-11-18"
"even","4","25","114","2022-11-18","114","2022-11-18"
"even","4","26","122","2022-11-18","122","2022-11-18"
"even","4","27","128","2022-11-18","128","2022-11-18"
"even","4","28","132","2022-11-18","132","2022-11-18"
"even","4","29","151","2022-11-18","151","2022-11-18"
