"scen_type","type_id","agents","lower_cost","lower_date","solution_cost","solution_date"
"even","1","1","5","2022-11-18","5","2022-11-18"
"even","1","2","24","2022-11-18","24","2022-11-18"
"even","1","3","30","2022-11-18","30","2022-11-18"
"even","1","4","52","2022-11-18","52","2022-11-18"
"even","1","5","66","2022-11-18","66","2022-11-18"
"even","1","6","71","2022-11-18","71","2022-11-18"
"even","1","7","86","2022-11-18","86","2022-11-18"
"even","1","8","94","2022-11-18","94","2022-11-18"
"even","1","9","105","2022-11-18","105","2022-11-18"
"even","1","10","125","2022-11-18","125","2022-11-18"
"even","1","11","139","2022-11-18","139","2022-11-18"
"even","1","12","142","2022-11-18","142","2022-11-18"
"even","1","13","153","2022-11-18","153","2022-11-18"
"even","1","14","165","2022-11-18","165","2022-11-18"
"even","1","15","184","2022-11-18","184","2022-11-18"
"even","1","16","189","2022-11-18","189","2022-11-18"
"even","1","17","205","2022-11-18","205","2022-11-18"
"even","1","18","225","2022-11-18","225","2022-11-18"
"even","1","19","232","2022-11-18","232","2022-11-18"
"even","1","20","242","2022-11-18","242","2022-11-18"
"even","1","21","267","2022-11-18","267","2022-11-18"
"even","1","22","283","2022-11-18","283","2022-11-18"
"even","1","23","302","2022-11-18","302","2022-11-18"
"even","1","24","306","2022-11-18","306","2022-11-18"
"even","1","25","321","2022-11-18","321","2022-11-18"
"even","1","26","328","2022-11-18","328","2022-11-18"
"even","1","27","344","2022-11-18","344","2022-11-18"
"even","1","28","357","2022-11-18","357","2022-11-18"
"even","1","29","365","2022-11-18","365","2022-11-18"
"even","1","30","386","2022-11-18","386","2022-11-18"
"even","1","31","393","2022-11-18","393","2022-11-18"
"even","1","32","399","2022-11-18","399","2022-11-18"
"even","1","33","412","2022-11-18","412","2022-11-18"
"even","1","34","427","2022-11-18","427","2022-11-18"
"even","1","35","437","2022-11-18","437","2022-11-18"
"even","1","36","447","2022-11-18","447","2022-11-18"
"even","1","37","453","2022-11-18","453","2022-11-18"
"even","1","38","469","2022-11-18","469","2022-11-18"
"even","1","39","485","2022-11-18","485","2022-11-18"
"even","1","40","500","2022-11-18","500","2022-11-18"
"even","1","41","507","2022-11-18","507","2022-11-18"
"even","1","42","520","2022-11-18","520","2022-11-18"
"even","1","43","536","2022-11-18","536","2022-11-18"
"even","1","44","546","2022-11-18","546","2022-11-18"
"even","1","45","555","2022-11-18","555","2022-11-18"
